SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Clinic,Kaiser Permanente Longview-Kelso Medical Office,Longview,98632,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,14.47,13.53,15.41,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Auburn Clinic Family Practice,Auburn,98002,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.27,0.13,0.42,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Rockwood Valley Clinic,Spokane Valley,99216,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.64,0.51,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,"Unify Community Health, Northeast Community Center",Spokane,99207,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,2.44,1.3,3.58,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Neighborcare Health At Pike Place Market,Seattle,98101,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.54,0.47,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Family Medicine Of Yakima,Yakima,98908,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.68,0.6,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Stanwood,Stanwood,98292,COMMERCIAL,CDC-HBA1C,Comprehensive Diabetes Care - HbA1c Testing,Compliance,Percent Compliance,Overall,0.9,0.78,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Bellevue Medical And Dental Clinic,Bellevue,98005,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.75,0.67,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Bellevue Medical And Dental Clinic,Bellevue,98005,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.7,0.59,0.8,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Spokane Medical Center,Spokane,99201,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.65,0.55,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Virginia Mason University Village Medical Center,Seattle,98105,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.78,0.66,0.9,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Confluence Health - East Wenatchee Clinic,East Wenatchee,98802,COMMERCIAL,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.39,0.21,0.58,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Vancouver Clinic - Battle Ground,Battle Ground,98604,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.55,0.48,0.62,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Peninsula Community Health Services - Wheaton Way,Bremerton,98310,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.59,0.48,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Pacific Medical Centers - Lynnwood,Lynnwood,98036,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,16.03,12.85,19.21,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Spokane Internal Medicine - Spokane Valley,Spokane Valley,99216,COMMERCIAL,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.6,0.42,0.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Tonasket Medical Clinic,Tonasket,98855,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.19,0.02,0.36,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Rose Urgent Care And Family Practice - Vancouver,Vancouver,98661,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Providence Health & Services - Monroe Clinic,Monroe,98272,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.72,0.65,0.79,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Virginia Mason Federal Way Medical Center,Federal Way,98003,COMMERCIAL,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.9,0.81,0.98,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Swedish Health Services - Edmonds Primary Care,Edmonds,98026,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.54,0.41,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Edmonds Family Medicine,Edmonds,98026,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.34,0.17,0.51,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Care - Hilltop Family Medical Center,Tacoma,98405,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.51,0.47,0.55,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Carolyn Downs Family Medical Center,Seattle,98122,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.49,0.36,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - Canyon Rd,Puyallup,98375,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.7,0.64,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Lourdes West Pasco,Pasco,99301,COMMERCIAL,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.46,0.33,0.59,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Silver Lake,Everett,98208,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.59,0.47,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Puyallup Medical Center,Puyallup,98374,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Virginia Mason Lynnwood Medical Center,Lynnwood,98036,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.74,0.62,0.86,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Swedish Health Services - Seattle - West Seattle Primary Care,Seattle,98116,MEDICAID,CDC-NEPH,Comprehensive Diabetes Care - Medical Attention for Nephrology,Compliance,Percent Compliance,Overall,0.74,0.57,0.9,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - St. Francis,Federal Way,98003,COMMERCIAL,AAB,Avoidance of Antibiotic Treatment in Adults With Acute Bronchitis,Compliance,Percent Compliance,Overall,0.18,0,0.37,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Uw Neighborhood Federal Way Clinic,Federal Way,98003,MEDICAID,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.69,0.54,0.84,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Columbia Pediatrics - Wenatchee,Wenatchee,98801,COMMERCIAL,CWP,Appropriate Testing for Children With Pharyngitis,Compliance,Percent Compliance,Overall,0.56,0.38,0.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Peacehealth Medical Group Sw. - Vancouver - 87th Avenue,Vancouver,98664,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.68,0.58,0.78,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Sea-Mar Community Health Center - Bellingham,Bellingham,98226,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.57,0.47,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Tukwila,Tukwila,98168,MEDICAID,CDC-HBA1C,Comprehensive Diabetes Care - HbA1c Testing,Compliance,Percent Compliance,Overall,1,1,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Jefferson Healthcare Primary Care,Port Townsend,98368,MEDICAID,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.86,0.74,0.99,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Uw Neighborhood Kent-Des Moine Way Clinic,Kent,98032,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.48,0.31,0.64,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Everett Medical Center,Everett,98201,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.72,0.62,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Multicare Rockwood Valley Clinic,Spokane Valley,99216,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.64,0.57,0.72,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Skagit Regional Clinics - Mount Vernon,Mount Vernon,98274,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.63,0.52,0.74,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,"Providence Health & Services  - Internal Medicine, Mcclellan",Spokane,99204,COMMERCIAL,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.84,0.8,0.88,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Swedish Health Services - Mercer Island,Mercer Island,98040,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Pullman Family Medicine,Pullman,99163,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Virginia Mason Issaquah Medical Center,Issaquah,98027,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.7,0.63,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Child & Adolescent Clinic - Longview,Longview,98632,COMMERCIAL,CWP,Appropriate Testing for Children With Pharyngitis,Compliance,Percent Compliance,Overall,0.87,0.73,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Olympia Medical Center,Olympia,98506,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Healthpoint Kent,Kent,98030,MEDICAID,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.78,0.72,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Cascade Medical - Family Practice Clinic,Leavenworth,98826,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Cascade Park,Vancouver,98684,COMMERCIAL,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.66,0.62,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,"Franciscan Medical Clinic - St. Joseph, J Street",Tacoma,98405,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.69,0.56,0.82,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Family Health Associates,Bellingham,98225,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Associates In Family Medicine - Bellingham,Bellingham,98225,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Burien Medical Center,Burien,98166,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,3,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Whitman Medical Group - Colfax,Colfax,99111,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.5,0.46,0.54,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,"Yakima Valley Farm Workers Clinic , Yakima Medical-Dental Clinic",Yakima,98901,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.59,0.53,0.65,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Olympia Family And Internal Medicine,Olympia,98502,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Association Of Spokane - Market Street Clinic,Spokane,99208,MEDICAID,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Bogachiel Clinic - Forks,Forks,98331,MEDICAID,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,1,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Columbia Medical Associates - Family Health Center,Spokane,99201,COMMERCIAL,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.88,0.79,0.97,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Interlake Medical Center,Redmond,98052,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.66,0.56,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Steck Medical Group,Chehalis,98532,COMMERCIAL,CDC-HBA1C,Comprehensive Diabetes Care - HbA1c Testing,Compliance,Percent Compliance,Overall,0.95,0.86,1,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Steck Medical Group,Chehalis,98532,MEDICAID,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.72,0.59,0.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Tri-State Family Practice,Clarkston,99403,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.57,0.41,0.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Neighborcare Health At Columbia City,Seattle,98118,MEDICAID,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.58,0.49,0.68,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,"Providence Health & Services - Internal Medicine, Mill Creek Campus",Everett,98208,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.72,0.63,0.82,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Providence Health & Services - Marysville Clinic,Marysville,98271,COMMERCIAL,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.72,0.62,0.81,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Auburn,Auburn,98002,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.64,0.6,0.69,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Confluence Health - Omak Clinic,Omak,98841,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.53,0.4,0.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Franciscan Medical Clinic - Canyon Rd,Puyallup,98375,MEDICAID,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.54,0.41,0.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Columbia Medical Associates - Family Health Center,Spokane,99201,COMMERCIAL,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.3,0.21,0.38,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Pacific Medical Centers - Northgate,Seattle,98125,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,3,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Evergreenhealth Primary Care - Canyon Park,Bothell,98021,COMMERCIAL,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.76,0.6,0.92,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Tukwila,Tukwila,98168,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.56,0.45,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Bothell,Bothell,98011,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.31,0.19,0.43,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Valley Medical Center - Cascade Clinic,Renton,98055,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,28.44,21.74,35.13,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Rainier Medical Center,Seattle,98118,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.8,0.78,0.83,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Kvh Internal Medicine,Ellensburg,98926,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.56,0.42,0.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Care - Eastside Medical Clinic,Tacoma,98404,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.53,0.45,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Hudson'S Bay Medical Group,Vancouver,98663,MEDICAID,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.83,0.7,0.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Bothell,Bothell,98011,MEDICAID,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.87,0.81,0.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,South Sound Pediatrics - Olympia,Olympia,98506,COMMERCIAL,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.71,0.59,0.82,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Familycare Of Kent,Kent,98031,COMMERCIAL,PDC-DR,Proportion of Days Covered - Diabetes All Class (DR),Compliance,Percent Compliance,Overall,0.63,0.46,0.79,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Skagit Regional Clinics - Mount Vernon,Mount Vernon,98274,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,4.64,3.26,6.02,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Community Health Of Central Washington - Yakima Pediatrics,Yakima,98902,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,30.54,27.45,33.63,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Valley Medical Center - Fairwood Clinic,Renton,98058,COMMERCIAL,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.71,0.53,0.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Port Orchard Medical Center,Port Orchard,98366,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.67,0.64,0.71,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Lourdes West Pasco,Pasco,99301,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.73,0.66,0.8,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Confluence Health - Omak Clinic,Omak,98841,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.64,0.55,0.72,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Olympia Medical Center,Olympia,98506,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.36,0.3,0.43,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Worse
Clinic,Jamestown Family Health Clinic,Sequim,98382,COMMERCIAL,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.82,0.74,0.89,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Pacific Medical Centers - Beacon Hill,Seattle,98144,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.64,0.52,0.76,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Sound Family Medicine And Urgent Care - Poulsbo,Poulsbo,98370,COMMERCIAL,MEDPRAC-RATING,Overall Rating of Medical Practice,Score,Stars,,2,,,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Ocean Beach Hospital - Medical Clinic,Ilwaco,98624,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.43,0.25,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Valley Medical Center - Maple Valley Clinic,Maple Valley,98038,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Advanced Family Medicine - Redmond,Redmond,98052,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.48,0.36,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Providence Health & Services  - West Olympia Family Medicine,Olympia,98502,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.49,0.38,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Auburn,Auburn,98002,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.3,0.22,0.39,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Goodman & Stoller Family Medicine,Everett,98201,COMMERCIAL,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.74,0.64,0.84,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Trios Care Center At Debit,Kennewick,99336,MEDICAID,W15,Well-Child Visits in the First 15 Months of Life,Compliance - 6+ Visits,Percent Compliance,Overall,0.61,0.56,0.67,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Mill Creek,Mill Creek,98012,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.64,0.51,0.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Tacoma Central Internal Medicine,Tacoma,98405,MEDICAID,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.62,0.47,0.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Factoria Medical Center,Bellevue,98006,COMMERCIAL,LBP,Use of imaging studies for Low Back Pain,Compliance,Percent Compliance,Overall,0.87,0.78,0.96,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Columbia Valley Community Health - Wenatchee,Wenatchee,98801,MEDICAID,CDC-HBA1C,Comprehensive Diabetes Care - HbA1c Testing,Compliance,Percent Compliance,Overall,0.84,0.75,0.93,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
